v1300,,,,,,,,,,,,,,,,,,,,,,,,,,
商品ID,バリエーションID,削除設定 ※削除の場合のみ入力,カテゴリーID,【必須】商品名 ※49文字,商品名（レシート用） ※49文字 ・未設定の場合は商品名が印字されます。,商品名（商品入力用） ※49文字 ・未設定の場合は商品名が印字されます。,バリエーション（種別1） ※32文字,バリエーション（種別2） ※32文字,税設定 ※「外税」「内税」のいずれかを入力,適用税率 ※「標準税率」「軽減税率」「注文時に選択」「非課税」のいずれかを入力,税率別価格 ※適用税率が「注文時に選択」で税設定が「内税」の場合に「統一した価格を設定」「税率別に価格を設定」のいずれかを入力,価格設定 ※「通常」「部門打ち」「量り売り」のいずれかを入力,販売単位ID,【必須】価格 ※半角数字,価格2 ※税率別に価格を指定する場合に入力,原価 ※半角数字,商品コード ※24文字,自動発番（バーコード）※自動発番はJAN(EAN)コードで発番されます。,バーコード,ポイント付与対象 ※「対象」「対象外」のいずれかを入力,表示/非表示 ※「表示」「非表示」のいずれかを入力,レシート印字設定 ※「印字する」「印字しない」のいずれかを入力,登録番号印字設定 ※「印字する」「印字しない」のいずれかを入力,備考 ※1000文字,旧商品コード ※通常入力しません,分析タグID ※通常入力しません
,,,1,白味噌ラーメン,白味噌ラーメン,白味噌ラーメン,ノーマル,,内税,標準税率,,通常,,1080,,,,,,対象,表示,印字する,印字する,,,
,,,1,白味噌ラーメン,白味噌ラーメン,白味噌ラーメン,煮卵,,内税,標準税率,,通常,,1240,,,,,,対象,表示,印字する,印字する,,,
,,,1,白味噌ラーメン,白味噌ラーメン,白味噌ラーメン,キッズ,,内税,標準税率,,通常,,500,,,,,,対象,表示,印字する,印字する,,,
,,,1,白味噌ラーメン,白味噌ラーメン,白味噌ラーメン,かけ,,内税,標準税率,,通常,,700,,,,,,対象,表示,印字する,印字する,,,
,,,1,白味噌ラーメン,白味噌ラーメン,白味噌ラーメン,特製,,内税,標準税率,,通常,,1680,,,,,,対象,表示,印字する,印字する,,,
,,,1,赤味噌ラーメン,赤味噌ラーメン,赤味噌ラーメン,ノーマル,,内税,標準税率,,通常,,1080,,,,,,対象,表示,印字する,印字する,,,
,,,1,赤味噌ラーメン,赤味噌ラーメン,赤味噌ラーメン,煮卵,,内税,標準税率,,通常,,1240,,,,,,対象,表示,印字する,印字する,,,
,,,1,赤味噌ラーメン,赤味噌ラーメン,赤味噌ラーメン,かけ,,内税,標準税率,,通常,,750,,,,,,対象,表示,印字する,印字する,,,
,,,1,赤味噌ラーメン,赤味噌ラーメン,赤味噌ラーメン,特製,,内税,標準税率,,通常,,1810,,,,,,対象,表示,印字する,印字する,,,
,,,1,辛味噌ラーメン,辛味噌ラーメン,辛味噌ラーメン,ノーマル,,内税,標準税率,,通常,,1180,,,,,,対象,表示,印字する,印字する,,,
